PWM1_us (Pitch servo),PWM2_us (Roll servo),"Pitch servo length (L3, mm)","Roll servo length (L, mm)","Roll angle (theta, deg)","Pitch angle (phi, deg)",,
900,900,107.593,107.593,20.90439258,-20.49666609,,
900,950,107.593,108.718,19.00895666,-20.73878381,,
900,1000,107.593,109.843,17.11247592,-20.95643115,,
900,1050,107.593,110.968,15.21365481,-21.15016967,,
900,1100,107.593,112.093,13.31120878,-21.32044596,,
900,1150,107.593,113.218,11.40385279,-21.4675952,,
900,1200,107.593,114.343,9.490290356,-21.59184306,,
900,1250,107.593,115.468,7.569202674,-21.69330612,,
900,1300,107.593,116.593,5.639237597,-21.77199072,,
900,1350,107.593,117.718,3.698998179,-21.82779013,,
900,1400,107.593,118.843,1.74703042,-21.86048019,,
900,1450,107.593,119.968,-0.218190099,-21.86971292,,
900,1500,107.593,121.093,-2.19827309,-21.85500809,,
900,1550,107.593,122.218,-4.194930434,-21.81574239,,
900,1600,107.593,123.343,-6.209995604,-21.7511357,,
900,1650,107.593,124.468,-8.245446371,-21.66023394,,
900,1700,107.593,125.593,-10.3034317,-21.54188777,,
900,1750,107.593,126.718,-12.38630399,-21.39472611,,
900,1800,107.593,127.843,-14.4966583,-21.21712316,,
900,1850,107.593,128.968,-16.6373805,-21.00715726,,
900,1900,107.593,130.093,-18.81170728,-20.76255903,,
900,1950,107.593,131.218,-21.0233019,-20.48064562,,
900,2000,107.593,132.343,-23.27635111,-20.15823631,,
900,2050,107.593,133.468,-25.57569115,-19.79154305,,
900,2100,107.593,134.593,-27.92697427,-19.37602602,,
950,900,108.718,107.593,21.07726057,-18.63486918,,
950,950,108.718,108.718,19.19850916,-18.88626766,,
950,1000,108.718,109.843,17.31839454,-19.11278204,,
950,1050,108.718,110.968,15.43562508,-19.31495596,,
950,1100,108.718,112.093,13.54892209,-19.49321921,,
950,1150,108.718,113.218,11.65700789,-19.64789116,,
950,1200,108.718,114.343,9.758594329,-19.77918256,,
950,1250,108.718,115.468,7.852371548,-19.8871958,,
950,1300,108.718,116.593,5.936996583,-19.97192364,,
950,1350,108.718,117.718,4.011081544,-20.03324623,,
